# run=/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1 csharpgenerators=6355310a1689acc88c08515d5f5a2c77bb87fb8f scaledcompilers=116f8c9d68a60a4294b39630ff7509702d3db7a7 omispecifications=202d321f22f127dbe6165802270af0236f8c9a4c
model	error	prev_error	defect	prev_defect	run
asx.asxderivatives.ntp.itch.v1.05	Missing Source: Asx.AsxDerivatives.Ntp.Itch.v1.05.Pdf.xml		§70		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.byxequities.binaryorderentry.boe.v2.4.55	No Binary Specification Loader registered as 'Boe.Streamlined.Pdf': cboe.usequities.binaryorderentry.boe.v2.4.55.pdf.xml		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.bzxequities.binaryorderentry.boe.v2.3	No Binary Specification Loader registered as 'Boe.Streamlined.Pdf': cboe.usequities.binaryorderentry.boe.v2.3.pdf.xml		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.bzxequities.binaryorderentry.boe.v2.4.55	No Binary Specification Loader registered as 'Boe.Streamlined.Pdf': cboe.usequities.binaryorderentry.boe.v2.4.55.pdf.xml		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.bzxoptions.binaryorderentry.boe.v2.10	Exception has been thrown by the target of an invocation.		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.c1options.binaryorderentry.boe.v2.10	Exception has been thrown by the target of an invocation.		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.c2options.binaryorderentry.boe.v2.10	Exception has been thrown by the target of an invocation.		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.cboeequities.binaryorderentry.boe.v2.3.7	Exception has been thrown by the target of an invocation.		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.cfefutures.binaryorderentry.boe.v1.3	Exception has been thrown by the target of an invocation.		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.edgaequities.binaryorderentry.boe.v2.4.55	No Binary Specification Loader registered as 'Boe.Streamlined.Pdf': cboe.usequities.binaryorderentry.boe.v2.4.55.pdf.xml		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.edgxequities.binaryorderentry.boe.v2.3	No Binary Specification Loader registered as 'Boe.Streamlined.Pdf': cboe.usequities.binaryorderentry.boe.v2.3.pdf.xml		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.edgxequities.binaryorderentry.boe.v2.4.55	No Binary Specification Loader registered as 'Boe.Streamlined.Pdf': cboe.usequities.binaryorderentry.boe.v2.4.55.pdf.xml		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
cboe.edgxoptions.binaryorderentry.boe.v2.10	Exception has been thrown by the target of an invocation.		cboe-boe-loader-consolidation-regression		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
nyse.amexequities.binarygateway.pillarstream.v5.17	Missing Source: Nyse.Equities.PillarStream.BinaryGateway.v5.17.pdf.xml		§70		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
nyse.amexequities.binarygateway.pillarstream.v6.0	Missing Source: Nyse.Equities.PillarStream.BinaryGateway.v6.0.pdf.xml		§70		/home/sean/code/scaled/ScaledCompilers/output/compile-binary-all-21nxctt1
