# run=/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl csharpgenerators=6c32b501899b6f54afc8ab7e70db0bf1dd53e085 scaledcompilers=32934010679928e958cdf88b5375f66e82199977 omispecifications=60ddb9cf2fa0c8a363021137a8f980b201954ceb
model	model_hash	stage	error	prev_stage	prev_error	defect	prev_defect	run
24X.24XEquities.Memo.Sbe.v1.13	0d60fd0c7ef6e9ad1a8514095934b551fe1177f80b12930ab091a87a1c2179e1	generation	Model '24X.24XEquities.Memo.Sbe.v1.13': the generator does not emit counted group 'packet.data.unsequencedmessage.sbemessage.payload.executionreportcanceledmessage.partiesgroups.partiesgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
24X.24XEquities.MemoirDepthFeed.Sbe.v1.3	05f60b8abdbaa538641c0ffb8e3d7b2f7f017e48512d096fb3a19aa16e5a54e9	passed						/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
24X.24XEquities.MemoirLastSale.Sbe.v1.3	653a424af198fbe8f0232e2b7f088f22b188c946d3a158bc89c5190fb985904c	passed						/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
24X.24XEquities.MemoirTopOfBook.Sbe.v1.3	fdff00bd8dcd0bd1146358c878cb8edfeca6c88d7399cce95dc5e8bb7d64ba5d	passed						/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
A2X.A2XEquities.Rtmdf.Amd.v1.3.2	8a8fe245399faa84d18dcb4f334a4604a37030ffffe0bbec7830345b8bbd4e79	passed		generation	Bitfield container 'Security Flags' (address: 'packet.message.payload.securitydefinitionmessage.securityflags') is 2 bytes but has no explicit Endian trait. Add exactly one Endian trait with value Big or Little upstream.		bitfield-no-endian	/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
A2X.A2XEquities.Snapshot.Amd.v1.3.2	bfa1b1b59e13133320e100d2320ce74d7060f8918ad50d6588848c6e72867184	passed						/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
A2X.A2XEquities.UdpHeader.Amd.v1	5d4b32963ca6306272358b7c79937758fb05af80e97078723ea8ae55677baa01	generation	Model 'A2X.A2XEquities.UdpHeader.Amd.v1': no ZeroCopy walker for tree 'packet': no path from its root to a message dispatch.	generation	Model 'A2X.A2XEquities.UdpHeader.Amd.v1': fixed-layout accessor field is missing required Size trait. This is a model/compiler defect. Field='Payload' (Field, packet.message.payload, 0 bytes).	zc-walker-unsupported-path	accessor-missing-size-trait	/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.RealTime.Amd.v4.0	960f013d43e7f8a7e4697a3d93be11ea9e16221867f3177cf1c22a8fedee0c5b	generation	Bitfield child 'Market Mechanism' (address: 'packet.message.payload.trade.binarymmt.marketmechanism') carries enum values, but enum-valued multi-bit bitfield children are not implemented.	generation	Bitfield container 'Binary Mmt' (address: 'packet.message.payload.trade.binarymmt') is 4 bytes but has no explicit Endian trait. Add exactly one Endian trait with value Big or Little upstream.	enum-multibit-bitfield	bitfield-no-endian	/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.RealTime.Amd.v4.1	c1768df0c89295dd6d60072422f693b2e8ba6233dcd9f1781163b9df4415beee	generation	Bitfield child 'Market Mechanism' (address: 'packet.message.payload.trade.binarymmt.marketmechanism') carries enum values, but enum-valued multi-bit bitfield children are not implemented.	generation	Bitfield container 'Binary Mmt' (address: 'packet.message.payload.trade.binarymmt') is 4 bytes but has no explicit Endian trait. Add exactly one Endian trait with value Big or Little upstream.	enum-multibit-bitfield	bitfield-no-endian	/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.Replay.Amd.v4.0	2cea9f8606dd34d338568aa758a5aed5134141b1c44cf0b5564f150556bc351e	passed						/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.Replay.Amd.v4.1	2027934d2810812614ce2058e7422fbabebf7f3a5a5fc0867d534f934f1947ea	passed						/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.Snapshot.Amd.v4.0	06ed4621f88a15b7b594e398ac755b7cca0f7cf929a289f95d430fe6dcef042c	passed						/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.Snapshot.Amd.v4.1	56649c398618889c42f97f2f56cb15585657a7daea03c057ca6f12d2cfcbf644	passed						/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.TcpHeader.Amd.v1.0	b0599123a4ec351893558f87119df0622c686fc83ae37cbbdf64395c62c0dfce	generation	Model 'Aquis.AquisEquities.TcpHeader.Amd.v1.0': no ZeroCopy walker for tree 'packet': no path from its root to a message dispatch.	passed		zc-walker-unsupported-path		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.TcpHeader.Atp.v1.0	c1a342d44445ee0f4013dadfe5a4b3d6f424480be1dd3fb5f9921b817d55ce1e	generation	Model 'Aquis.AquisEquities.TcpHeader.Atp.v1.0': no ZeroCopy walker for tree 'packet': no path from its root to a message dispatch.	passed		zc-walker-unsupported-path		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.TcpHeader.Atp.v2.0	1582eead93382af6818f59da12887757bf2bc73e59d896d2395fcbe889b01969	generation	Model 'Aquis.AquisEquities.TcpHeader.Atp.v2.0': no ZeroCopy walker for tree 'packet': no path from its root to a message dispatch.	passed		zc-walker-unsupported-path		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.TradingProtocol.Atp.v4.0	583c39220e22c2c837e85d348b9e9ffa260c142c280ac8f2be791b05caf0d6d4	generation	Bitfield child 'Party Role' (address: 'packet.message.payload.orderaddmessage.tableselect1.partyrole') carries enum values, but enum-valued multi-bit bitfield children are not implemented.			enum-multibit-bitfield		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Aquis.AquisEquities.UdpHeader.Amd.v1.0	9b052c062c958d72bdf0e613898a57a00943687a9cafa04abaf4c5a5bff327b1	generation	Model 'Aquis.AquisEquities.UdpHeader.Amd.v1.0': no ZeroCopy walker for tree 'packet': no path from its root to a message dispatch.	passed		zc-walker-unsupported-path		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Asx.AsxDerivatives.T24.Itch.v1.13	64e803e898ade833a2ad0df87d8c6becc975ac90a66ce6aeccc9813f2b9d4917	generation	Model 'Asx.AsxDerivatives.T24.Itch.v1.13': the generator does not emit counted group 'packet.messages.message.payload.custommarketorderaddedmessage.contractlegs' because the group does not have a supported row cursor.	generation	Element 'Protocol Version' (packet.packetheader.session.protocolversion) value 'Protocol Version' requires an unsupported 3-byte C# integer type.	zc-counted-group-no-row-cursor	ascii-no-filled-trait	/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Asx.AsxSecurities.Trade.Itch.v2.0	ca3c1f04c39c5ccd17a1597843908260d5142819ef400f9e011453a35078e7c8	passed		generation	Bitfield container 'Exchange Order Type' (address: 'packet.messages.message.payload.addordernoparticipantidmessage.exchangeordertype') is 2 bytes but has no explicit Endian trait. Add exactly one Endian trait with value Big or Little upstream.		bitfield-no-endian	/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Asx.AsxSecurities.Trade.Itch.v3.1	91a9b85d0b4d8cc243154739d02504e41e4ce8cdee7e7ad2ad79e66ce4ed37ef	passed		generation	Bitfield container 'Exchange Order Type' (address: 'packet.messages.message.payload.addordernoparticipantidmessage.exchangeordertype') is 2 bytes but has no explicit Endian trait. Add exactly one Endian trait with value Big or Little upstream.		bitfield-no-endian	/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Asx.AsxSecurities.Trade.Ouch.v2.0	d44007f20efe18db3fdd523f49e14f896c267834a3b63ed95a2c72c51d337f23	passed		generation	Model 'Asx.AsxSecurities.Trade.Ouch.v2.0': some dispatch targets of 'serverpacket.serversoupbintcppacket.serverpayload' carry a Size rule and some do not.		mixed-size-rule-dispatch-targets	/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
Asx.AsxSecurities.Trade.Ouch.v3.6	f65e65b7733de84ce15a1ce70f1ed1ceca7edc776e3ed1c4c5d2700c530ed36f	generation	Bitfield child 'Crossing Dealing Capacity' (address: 'serverpacket.serversoupbintcppacket.serverpayload.sequenceddatapacket.sequencedmessage.orderexecutedmessage.matchattributes.crossingdealingcapacity') carries enum values, but enum-valued multi-bit bitfield children are not implemented.	generation	Integer enum 'Deal Source' (address: 'serverpacket.serversoupbintcppacket.serverpayload.sequenceddatapacket.sequencedmessage.orderexecutedmessage.dealsource') is 2 bytes and big-endian. ZeroCopy cannot expose a multi-byte big-endian enum directly from a memory overlay. Use a supported little-endian representation or add an endian-aware wrapper type.	enum-multibit-bitfield	big-endian-enum-overlay	/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryEntryPoint.Sbe.v7.0	b25bd094630cc232debb0ab986722d028a93dbd1b01c58486cffc709363e747a	generation	Model 'B3.B3Derivatives.BinaryEntryPoint.Sbe.v7.0': the generator does not emit counted group 'packet.simpleopenframe.payload.newordercrossmessage.crosssidesgroups.crosssidesgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryEntryPoint.Sbe.v7.1	5696b0e2fc3b085502166df8bc5ae0d2a65c243b59aa04cbd6d9b6ffc737871d	generation	Model 'B3.B3Derivatives.BinaryEntryPoint.Sbe.v7.1': the generator does not emit counted group 'packet.simpleopenframe.payload.newordercrossmessage.crosssidesgroups.crosssidesgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.0	7c9941947bb3bef8df405af5368b77374cb9a8b36d635099e64f5f575cad5bd9	generation	Model 'B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.0': the generator does not emit counted group 'packet.simpleopenframe.payload.newordercrossmessage.crosssidesgroups.crosssidesgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.1	ba523fb8f88b050d4daeb728785381f8d8cce26c6d57ecf18ba9e7d84a5e2f7a	generation	Model 'B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.1': the generator does not emit counted group 'packet.simpleopenframe.payload.newordercrossmessage.crosssidesgroups.crosssidesgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.2	611faf41dfdb8e8f2a642c12c26791b491d07eaeca134474eaf8a15d05be4dcc	generation	Model 'B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.2': the generator does not emit counted group 'packet.simpleopenframe.payload.newordercrossmessage.crosssidesgroups.crosssidesgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.3	8a1035d5e1a3b2aba71df1c53c25e7b75ded2ea9a0d77a4df35df0170e6d5946	generation	Model 'B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.3': the generator does not emit counted group 'packet.simpleopenframe.payload.newordercrossmessage.crosssidesgroups.crosssidesgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.4	18ae2cdd30954623f9668dabfc502f2aef61d959c6925568b50c4814fcafbd4f	generation	Model 'B3.B3Derivatives.BinaryEntryPoint.Sbe.v8.4': the generator does not emit counted group 'packet.simpleopenframe.payload.newordercrossmessage.crosssidesgroups.crosssidesgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryUmdf.Sbe.v1.6	7a3239469e5fdbefa514215916cb5baa19915cda2a7a0527c96f3c208c1dbe56	generation	Model 'B3.B3Derivatives.BinaryUmdf.Sbe.v1.6': the generator does not emit counted group 'packet.message.payload.deprecatedsecuritydefinitionmessage.deprecatedunderlyingsgroups.deprecatedunderlyingsgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryUmdf.Sbe.v1.7	30fd60d5ebbc65ad669a1177c326bac52db1d0628b671a3db8fa852b8ac66956	generation	Model 'B3.B3Derivatives.BinaryUmdf.Sbe.v1.7': the generator does not emit counted group 'packet.message.payload.deprecatedsecuritydefinitionmessage.deprecatedunderlyingsgroups.deprecatedunderlyingsgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryUmdf.Sbe.v1.8	e0c66d306d7d991a7fdf69aef229922b2e6b7e8d01f7ee68ba53478ce1c631fd	generation	Model 'B3.B3Derivatives.BinaryUmdf.Sbe.v1.8': the generator does not emit counted group 'packet.message.payload.deprecatedsecuritydefinitionmessage.deprecatedunderlyingsgroups.deprecatedunderlyingsgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryUmdf.Sbe.v1.9	0ed845e49fdef096a5757cfd94b851d2fdc7a2c7d38cd9869de36ca003c39476	generation	Model 'B3.B3Derivatives.BinaryUmdf.Sbe.v1.9': the generator does not emit counted group 'packet.message.payload.securitydefinitionmessage.underlyingsgroups.underlyingsgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
B3.B3Derivatives.BinaryUmdf.Sbe.v2.1	263b905af313061c46db10e7dd5c9e1ff770608dac80c1c505e53c0e3fe9bd4b	generation	Model 'B3.B3Derivatives.BinaryUmdf.Sbe.v2.1': the generator does not emit counted group 'packet.message.payload.securitydefinitionmessage.underlyingsgroups.underlyingsgroup' because the group does not have a supported row cursor.	passed		zc-counted-group-no-row-cursor		/home/sean/code/scaled/CSharpGenerators/.claude/worktrees/exchange-simulator/output/verify-zerocopy-binary-dle0_crl
